#Source: http://thegreatestbooks.org/
494,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,
495,Crito,Plato,-399
496,Phaedo,Plato,-399
497,Euthyphro,Plato,-399
498,Cybernetics,Norbert Wiener,1950
499,The Feminine Mystique,Betty Friedan,1963
500,All But My Life,Gerda Weissmann Klein,1957
501,My Forbidden Face,Latifa,2001
502,Falling Leaves,Adeline Yen Mah,1997
503,In My Hands,Irene Opdyke,1999
504,Maus,Art Spiegelman,1986
505,Funny in Farsi,Firoozeh Dumas,2003
506,Enrique's Journey,Sonia Nazario,2006
507,American Shaolin,Matthew Polly,2006
508,Chinese Cinderella,Adeline Yen Mah,1999
509,The Hare with Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,2010
510,Kitchen Confidential,Anthony Bourdain,
511,A History of the World in 100 Objects,Neil MacGregor,
512,Allegorical Expositions of the Holy Laws,Philo of Alexandria,50
513,The Logic of Scientific Discovery,Karl Popper,1934
514,The Selfish Gene,Richard Dawkins,
515,The Mind and Society,Vilfredo Pareto,1916
516,The Private Life of Chairman Mao,Li Zhi-Sui,1994
517,The Death of Woman Wang MMP,Jonathan Spence,1978
518,Venice,Jan Morris,
519,Works of Gottfried Wilhelm Leibniz,Gottfried Wilhelm Leibniz,1716
520,Enquiry Concerning Political Justice,William Godwin,1793
521,A Treatise of Human Nature,David Hume,1739
522,Experiments on Plant Hybridization,Gregor Mendel,1865
523,The New Science,Giambattista Vico,1725
524,The Omnivore's Dilemma,Michael Pollan,
525,The Frugal Superpower: America's Global Leadership in a Cash-Strapped Era,Michael Mandelbaum,2010
526,Farm Hands: Hard Work and Hard Lessons from Western New York Fields,Tom Rivers,
527,"Why the West Rules - For Now: The Patterns of History, and What They Reveal About the Future",Ian Morris,2010
528,First Principles,Herbert Spencer,1862
529,On the Babylonian Captivity of the Church,Martin Luther,1520
530,Born to Run,Chris McDougall,2009
531,Meditations on First Philosophy,René Descartes,1641
532,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,
533,Reflections on the Revolution in France,Edmund Burke,1790
534,Treatise on Electricity and Magnetism,James Clerk Maxwell,1873
535,Outlines of Pyrrhonism,Sextus Empiricus,175
536,Staying Power: The History of Black People in Britain,Peter Fryer,1984
537,The Consolation of Philosophy,Boethius,524
538,The Devil In The White City,Erik Larson,2003
539,Wild Swans: Three Daughters of China,Jung Chang,1991
540,The Course in Positive Philosophy,Auguste Comte,1842
541,Eating Animals,Jonathan Safran Foer,2009
542,Psychological Types,Carl Jung,1921
543,Moneyball,Michael M. Lewis,
544,A Distant Mirror,Barbara Tuchman,1978
545,A Treatise Concerning the Principles of Human Knowledge,George Berkeley,1710
546,The Guide for the Perplexed,Moses Maimonides,1190
547,The Nicomachean Ethics,Aristotle,-400
548,Phenomenology of Mind,G. W. F. Hegel,1807
